id,Season,team1,team2,winner,venue,player_of_match
1,IPL-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Yuvraj Singh
2,IPL-2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,SPD Smith
3,IPL-2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,CA Lynn
4,IPL-2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,GJ Maxwell
5,IPL-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,KM Jadhav
6,IPL-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rashid Khan
7,IPL-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,N Rana
8,IPL-2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Holkar Cricket Stadium,AR Patel
9,IPL-2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,SV Samson
10,IPL-2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Wankhede Stadium,JJ Bumrah
11,IPL-2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,SP Narine
12,IPL-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,KA Pollard
13,IPL-2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Saurashtra Cricket Association Stadium,AJ Tye
14,IPL-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,RV Uthappa
15,IPL-2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,CJ Anderson
16,IPL-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,Wankhede Stadium,N Rana
17,IPL-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,BA Stokes
18,IPL-2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,NM Coulter-Nile
19,IPL-2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",B Kumar
20,IPL-2017,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,CH Gayle
21,IPL-2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",KS Williamson
22,IPL-2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,JC Buttler
23,IPL-2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,SK Raina
24,IPL-2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,MJ McClenaghan
25,IPL-2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,MS Dhoni
26,IPL-2017,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,HM Amla
27,IPL-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,NM Coulter-Nile
28,IPL-2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,BA Stokes
29,IPL-2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,RV Uthappa
30,IPL-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,M Chinnaswamy Stadium,AJ Tye
31,IPL-2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,G Gambhir
32,IPL-2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rashid Khan
33,IPL-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,LH Ferguson
34,IPL-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,Saurashtra Cricket Association Stadium,KH Pandya
35,IPL-2017,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sandeep Sharma
36,IPL-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",DA Warner
37,IPL-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Wankhede Stadium,RG Sharma
38,IPL-2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,BA Stokes
39,IPL-2017,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,Mohammed Shami
40,IPL-2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Eden Gardens,RA Tripathi
41,IPL-2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,RR Pant
42,IPL-2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Sandeep Sharma
